True Value,Predicted Value,Error
9.549000000000001265e+00,9.253287315368652344e+00,3.096792173330703335e+00
9.552000000000001378e+00,9.253287315368652344e+00,3.127226597899382288e+00
9.547000000000000597e+00,9.253287315368652344e+00,3.076491930777712991e+00
9.549999999999998934e+00,9.253287315368652344e+00,3.106939106087398983e+00
9.567999999999997840e+00,9.253287315368652344e+00,3.289221202250685483e+00
9.566999999999998394e+00,9.253287315368652344e+00,3.279112413832404371e+00
9.568999999999999062e+00,9.253286361694335938e+00,3.299337844139023534e+00
9.546000000000001151e+00,9.253287315368652344e+00,3.066338619645388341e+00
9.555999999999999162e+00,9.253287315368652344e+00,3.167776105392913877e+00
9.554999999999999716e+00,9.253287315368652344e+00,3.157641911369412302e+00
9.573999999999999844e+00,9.253287315368652344e+00,3.349829586707201656e+00
9.555000000000001492e+00,9.253286361694335938e+00,3.157651892262328897e+00
9.544999999999999929e+00,9.253287315368652344e+00,3.056183181051310704e+00
9.556000000000000938e+00,9.253287315368652344e+00,3.167776105392931640e+00
9.570999999999999730e+00,9.253287315368652344e+00,3.319534893233177186e+00
9.560999999999998167e+00,9.253286361694335938e+00,3.218425251601948922e+00
9.570999999999999730e+00,9.253287315368652344e+00,3.319534893233177186e+00
9.595999999999998309e+00,9.253286361694335938e+00,3.571421824777640808e+00
9.615000000000000213e+00,9.253287315368652344e+00,3.761962398661964357e+00
9.587999999999999190e+00,9.253284454345703125e+00,3.490983997228786606e+00
9.559000000000001052e+00,9.253286361694335938e+00,3.198175942103411717e+00
9.568999999999999062e+00,9.253287315368652344e+00,3.299327877848748258e+00
9.610000000000001208e+00,9.253286361694335938e+00,3.711900502660408385e+00
9.612000000000000099e+00,9.253284454345703125e+00,3.731955323078412157e+00
9.585999999999998522e+00,9.253284454345703125e+00,3.470848588089875619e+00
9.573000000000000398e+00,9.253286361694335938e+00,3.339743427406919984e+00
9.596000000000000085e+00,9.253286361694335938e+00,3.571421824777659015e+00
9.571000000000001506e+00,9.253287315368652344e+00,3.319534893233195394e+00
9.574999999999999289e+00,9.253286361694335938e+00,3.359933559328077468e+00
9.578000000000001180e+00,9.253286361694335938e+00,3.390202947438559544e+00
9.599999999999999645e+00,9.253286361694335938e+00,3.611600399017330432e+00
9.572999999999998622e+00,9.253285408020019531e+00,3.339753389532843730e+00
9.571999999999999176e+00,9.253286361694335938e+00,3.329645197510063603e+00
9.592000000000002302e+00,9.253286361694335938e+00,3.531209740467746716e+00
9.570999999999999730e+00,9.253287315368652344e+00,3.319534893233177186e+00
9.573000000000000398e+00,9.253286361694335938e+00,3.339743427406919984e+00
9.564000000000000057e+00,9.253286361694335938e+00,3.248783336529319055e+00
9.581000000000001293e+00,9.253287315368652344e+00,3.420443425856892983e+00
9.553000000000000824e+00,9.253286361694335938e+00,3.137377141271483705e+00
9.586999999999999744e+00,9.253287315368652344e+00,3.480887500066208506e+00
9.547000000000000597e+00,9.253286361694335938e+00,3.076501920034195425e+00
9.547000000000000597e+00,9.253287315368652344e+00,3.076491930777712991e+00
9.534999999999998366e+00,9.253287315368652344e+00,2.954511637455123907e+00
9.513999999999999346e+00,9.253288269042968750e+00,2.740295679598808487e+00
9.515000000000000568e+00,9.253289222717285156e+00,2.750507380795747636e+00
9.500999999999999446e+00,9.253289222717285156e+00,2.607207423247177136e+00
9.483000000000000540e+00,9.253289222717285156e+00,2.422342900798432730e+00
9.474000000000000199e+00,9.253289222717285156e+00,2.329647216410334121e+00
9.462000000000001521e+00,9.253290176391601562e+00,2.205768586011413124e+00
9.455000000000000071e+00,9.253291130065917969e+00,2.133356636002983642e+00
9.451000000000000512e+00,9.253291130065917969e+00,2.091935984912522528e+00
9.413000000000000256e+00,9.253291130065917969e+00,1.696684053267632608e+00
9.426999999999999602e+00,9.253291130065917969e+00,1.842673914650277300e+00
9.403999999999999915e+00,9.253291130065917969e+00,1.602603891259910096e+00
9.403999999999999915e+00,9.253292083740234375e+00,1.602593750103844306e+00
9.384999999999999787e+00,9.253292083740234375e+00,1.403387493444490319e+00
9.375000000000000000e+00,9.253292083740234375e+00,1.298217773437500000e+00
9.370000000000000995e+00,9.253293037414550781e+00,1.245538554807366083e+00
9.355999999999999872e+00,9.253292083740234375e+00,1.097775932661025022e+00
9.350000000000001421e+00,9.253293037414550781e+00,1.034299065085033442e+00
9.348999999999998423e+00,9.253292083740234375e+00,1.023723566796064466e+00
9.344000000000001194e+00,9.253291130065917969e+00,9.707712963835960496e-01
9.333000000000000185e+00,9.253291130065917969e+00,8.540541083690369462e-01
9.317000000000000171e+00,9.253291130065917969e+00,6.837916704312783089e-01
9.291999999999998039e+00,9.253290176391601562e+00,4.165930220447318089e-01
9.286000000000001364e+00,9.253292083740234375e+00,3.522282603894785757e-01
9.272999999999999687e+00,9.253293037414550781e+00,2.125198165151397367e-01
9.259999999999999787e+00,9.253293037414550781e+00,7.242940157072361163e-02
9.250999999999999446e+00,9.253293991088867188e+00,-2.479722288258287902e-02
9.239000000000000767e+00,9.253293037414550781e+00,-1.547032948863514834e-01
9.236000000000000654e+00,9.253293037414550781e+00,-1.872351387456704930e-01
9.222999999999998977e+00,9.253292083740234375e+00,-3.284406780899425393e-01
