True Value,Predicted Value,Error
6.662999999999999368e+00,6.685348987579345703e+00,-3.354192943020611883e-01
6.665999999999999481e+00,6.685349941253662109e+00,-2.902781466196014404e-01
6.657000000000000028e+00,6.685350418090820312e+00,-4.258737883554196135e-01
6.648999999999999133e+00,6.685346603393554688e+00,-5.466476672214702903e-01
6.647999999999999687e+00,6.685342311859130859e+00,-5.617074587715278344e-01
6.701999999999999957e+00,6.685341835021972656e+00,2.485551324683273611e-01
6.669999999999999929e+00,6.685366630554199219e+00,-2.303842661798994051e-01
6.691999999999999282e+00,6.685356140136718750e+00,9.928063154932056933e-02
6.690999999999999837e+00,6.685364246368408203e+00,8.422886910165346130e-02
6.737999999999999545e+00,6.685366153717041016e+00,7.811493957102779717e-01
6.678999999999998494e+00,6.685388565063476562e+00,-9.565152063898892110e-02
6.664000000000000590e+00,6.685365200042724609e+00,-3.206062431381155320e-01
6.656000000000000583e+00,6.685353279113769531e+00,-4.410047943775382562e-01
6.681999999999998607e+00,6.685347080230712891e+00,-5.009099417411379956e-02
6.697000000000000064e+00,6.685359001159667969e+00,1.738240830272076431e-01
6.676000000000000156e+00,6.685370445251464844e+00,-1.403601745276316370e-01
6.668000000000000149e+00,6.685360908508300781e+00,-2.603615553134467908e-01
6.676999999999999602e+00,6.685356616973876953e+00,-1.251552639490392804e-01
6.669999999999999929e+00,6.685359954833984375e+00,-2.302841804195568942e-01
6.670000000000000817e+00,6.685358047485351562e+00,-2.302555844880171398e-01
6.663999999999998813e+00,6.685355186462402344e+00,-3.204559793277841351e-01
6.668000000000000149e+00,6.685351371765136719e+00,-2.602185327704944484e-01
6.639999999999999680e+00,6.685353279113769531e+00,-6.830313119543652833e-01
6.666999999999998927e+00,6.685340881347656250e+00,-2.750994652415977848e-01
6.644000000000000128e+00,6.685351371765136719e+00,-6.223866912272214558e-01
6.655999999999999694e+00,6.685341835021972656e+00,-4.408328579022379734e-01
6.650999999999999801e+00,6.685345172882080078e+00,-5.163911123452153973e-01
6.683999999999999275e+00,6.685343742370605469e+00,-2.010386550877010098e-02
6.667000000000000703e+00,6.685359001159667969e+00,-2.753712488325673058e-01
6.701999999999999957e+00,6.685354232788085938e+00,2.483701464027756045e-01
6.719999999999999751e+00,6.685369014739990234e+00,5.153420425596655363e-01
6.739000000000000767e+00,6.685380935668945312e+00,7.956531285213748195e-01
6.744999999999999218e+00,6.685390949249267578e+00,8.837516790323447502e-01
6.685999999999999943e+00,6.685397148132324219e+00,9.016629788748495300e-03
6.671000000000000263e+00,6.685369014739990234e+00,-2.153952142106126677e-01
6.647999999999999687e+00,6.685358047485351562e+00,-5.619441559168453226e-01
6.638000000000000789e+00,6.685345172882080078e+00,-7.132445447737162381e-01
6.665000000000000036e+00,6.685338973999023438e+00,-3.051609002104036517e-01
6.641000000000000014e+00,6.685350418090820312e+00,-6.678274068787878326e-01
6.669999999999999929e+00,6.685342311859130859e+00,-2.300196680529374982e-01
6.651999999999999247e+00,6.685355186462402344e+00,-5.014309450150796765e-01
6.671000000000000263e+00,6.685349464416503906e+00,-2.151021498501520246e-01
6.653999999999999915e+00,6.685356140136718750e+00,-4.712374532118850934e-01
6.680999999999999162e+00,6.685346603393554688e+00,-6.505917367992106182e-02
6.661999999999999922e+00,6.685357570648193359e+00,-3.506089860131107461e-01
6.675000000000000711e+00,6.685349464416503906e+00,-1.550481560524823166e-01
6.657000000000000028e+00,6.685355186462402344e+00,-4.259454177918328699e-01
6.656000000000000583e+00,6.685347557067871094e+00,-4.409188261398814812e-01
6.645000000000001350e+00,6.685345649719238281e+00,-6.071580093188400085e-01
6.676000000000000156e+00,6.685340881347656250e+00,-1.399173359445190779e-01
6.661000000000000476e+00,6.685354232788085938e+00,-3.656242724528668275e-01
6.661000000000000476e+00,6.685349941253662109e+00,-3.655598446728964279e-01
6.652999999999999581e+00,6.685348987579345703e+00,-4.862315884465072124e-01
6.754999999999999893e+00,6.685345172882080078e+00,1.031159542826348252e+00
6.709999999999999076e+00,6.685392856597900391e+00,3.667234486154797302e-01
6.685999999999999943e+00,6.685380458831787109e+00,9.266245411499160478e-03
6.633000000000000007e+00,6.685366153717041016e+00,-7.894791755923564747e-01
6.668000000000000149e+00,6.685338020324707031e+00,-2.600183012103611246e-01
6.646000000000000796e+00,6.685350418090820312e+00,-5.920917558052890550e-01
6.652000000000001023e+00,6.685342788696289062e+00,-5.012445684950095348e-01
6.652999999999999581e+00,6.685343265533447266e+00,-4.861455814436748679e-01
6.650000000000000355e+00,6.685344219207763672e+00,-5.314920181618544293e-01
6.647000000000000242e+00,6.685344219207763672e+00,-5.768650399844054144e-01
6.645000000000001350e+00,6.685345172882080078e+00,-6.071508334398603157e-01
6.637999999999999901e+00,6.685340881347656250e+00,-7.131798937580046127e-01
6.673999999999999488e+00,6.685336112976074219e+00,-1.698548543013894407e-01
6.665000000000000036e+00,6.685351371765136719e+00,-3.053469132053515667e-01
6.705999999999999517e+00,6.685351371765136719e+00,3.079127383665791751e-01
6.661000000000000476e+00,6.685369491577148438e+00,-3.658533490038726743e-01
6.669999999999999929e+00,6.685351848602294922e+00,-2.301626477105696289e-01
6.654999999999999361e+00,6.685353279113769531e+00,-4.560973570814451650e-01
6.661000000000000476e+00,6.685346126556396484e+00,-3.655025755351449801e-01
6.638999999999999346e+00,6.685347080230712891e+00,-6.981033322897054472e-01
6.660000000000001030e+00,6.685337066650390625e+00,-3.804364361920358761e-01
6.623999999999999666e+00,6.685345649719238281e+00,-9.261118617034815870e-01
6.678000000000000824e+00,6.685331344604492188e+00,-1.097835370543780026e-01
6.639000000000000234e+00,6.685354232788085938e+00,-6.982110677524582254e-01
6.695999999999998842e+00,6.685340404510498047e+00,1.591934810259975630e-01
6.755999999999999339e+00,6.685363769531250000e+00,1.045533310668285143e+00
6.762999999999999901e+00,6.685397148132324219e+00,1.147461952797215412e+00
6.690999999999999837e+00,6.685405731201171875e+00,8.360885964471620468e-02
6.655999999999999694e+00,6.685373306274414062e+00,-4.413056832093504855e-01
6.664000000000000590e+00,6.685349941253662109e+00,-3.203772697128078883e-01
6.701000000000001400e+00,6.685350418090820312e+00,2.335409925262062758e-01
6.708000000000000185e+00,6.685367584228515625e+00,3.373943913459236388e-01
6.714999999999999858e+00,6.685376167297363281e+00,4.411590871576556716e-01
6.676999999999999602e+00,6.685380458831787109e+00,-1.255123383523664704e-01
6.672000000000000597e+00,6.685365676879882812e+00,-2.003248932836063090e-01
6.663999999999998813e+00,6.685362339019775391e+00,-3.205633106208970462e-01
6.676999999999999602e+00,6.685356140136718750e+00,-1.251481224609727050e-01
6.708999999999999631e+00,6.685358524322509766e+00,3.523844936278113793e-01
6.667999999999999261e+00,6.685373783111572266e+00,-2.605546357464458285e-01
6.653999999999999915e+00,6.685358047485351562e+00,-4.712661179042929027e-01
6.664000000000000590e+00,6.685349464416503906e+00,-3.203701142932670054e-01
6.682000000000000384e+00,6.685352802276611328e+00,-5.017662790498270131e-02
6.697999999999999510e+00,6.685361862182617188e+00,1.886852466017068242e-01
6.665999999999999481e+00,6.685369491577148438e+00,-2.905714308003143898e-01
6.687000000000000277e+00,6.685355186462402344e+00,2.459718165990628161e-02
6.678000000000000824e+00,6.685363292694091797e+00,-1.102619451046866067e-01
6.754999999999999893e+00,6.685360908508300781e+00,1.030926594991844691e+00
6.721000000000000973e+00,6.685397624969482422e+00,5.297184203320717266e-01
6.807999999999999829e+00,6.685386657714843750e+00,1.801018541203820433e+00
6.853000000000000647e+00,6.685425758361816406e+00,2.445268373532529349e+00
6.818999999999999950e+00,6.685454845428466797e+00,1.958427255778459664e+00
6.822000000000000064e+00,6.685445308685302734e+00,2.001681197811453039e+00
6.740000000000000213e+00,6.685444831848144531e+00,8.094238598198171264e-01
6.725000000000000533e+00,6.685405731201171875e+00,5.887623613208722295e-01
6.774999999999999467e+00,6.685393333435058594e+00,1.322607624574773100e+00
6.830000000000000071e+00,6.685415267944335938e+00,2.116906765090250886e+00
6.780000000000000249e+00,6.685447692871093750e+00,1.394576801311305347e+00
6.709999999999999076e+00,6.685430526733398438e+00,3.661620457019469366e-01
6.681999999999998607e+00,6.685397624969482422e+00,-5.084742546369074717e-02
6.685999999999999943e+00,6.685378551483154297e+00,9.294772911242091956e-03
6.706000000000001293e+00,6.685374736785888672e+00,3.075643187311753457e-01
6.670999999999999375e+00,6.685382366180419922e+00,-2.155953557250869235e-01
6.679000000000000270e+00,6.685364246368408203e+00,-9.528741381056943238e-02
6.661000000000000476e+00,6.685365676879882812e+00,-3.657960798661212265e-01
6.677000000000001378e+00,6.685359954833984375e+00,-1.252052543654784411e-01
6.668000000000000149e+00,6.685366153717041016e+00,-2.604402177120705986e-01
6.682000000000000384e+00,6.685359001159667969e+00,-5.026939778011949717e-02
6.682999999999999829e+00,6.685362339019775391e+00,-3.534848151691697554e-02
6.708999999999999631e+00,6.685362815856933594e+00,3.523205268008055002e-01
6.698999999999999844e+00,6.685376167297363281e+00,2.033711405080842194e-01
6.700999999999998735e+00,6.685373783111572266e+00,2.331923129148854579e-01
6.701999999999999957e+00,6.685372829437255859e+00,2.480926673044479003e-01
6.715999999999999304e+00,6.685374259948730469e+00,4.560116148193691932e-01
6.725999999999999979e+00,6.685379981994628906e+00,6.039253346026030034e-01
6.720999999999999197e+00,6.685386657714843750e+00,5.298815992434973143e-01
6.714000000000000412e+00,6.685385704040527344e+00,4.261885010347492564e-01
6.713999999999999524e+00,6.685382843017578125e+00,4.262311138281411615e-01
6.694999999999999396e+00,6.685382843017578125e+00,1.436468556000189967e-01
6.701999999999999957e+00,6.685374259948730469e+00,2.480713227584226965e-01
6.721000000000000973e+00,6.685375690460205078e+00,5.300447781549753046e-01
6.737000000000000099e+00,6.685385227203369141e+00,7.661388273212255129e-01
6.705000000000000071e+00,6.685395240783691406e+00,2.923901449113894824e-01
6.731000000000000760e+00,6.685381889343261719e+00,6.777315503898236893e-01
6.705000000000000071e+00,6.685392379760742188e+00,2.924328149031750201e-01
6.706999999999998963e+00,6.685381412506103516e+00,3.223287236304674397e-01
6.713999999999999524e+00,6.685379981994628906e+00,4.262737266215462784e-01
6.716999999999999638e+00,6.685382843017578125e+00,4.707035429867725829e-01
6.685999999999999943e+00,6.685384273529052734e+00,9.209190412013294053e-03
6.690999999999999837e+00,6.685370445251464844e+00,8.413622401038697851e-02
6.674000000000000377e+00,6.685370922088623047e+00,-1.703764172703426671e-01
6.673000000000000043e+00,6.685362815856933594e+00,-1.852662349308190071e-01
6.653999999999999915e+00,6.685360431671142578e+00,-4.713019487698025811e-01
6.676000000000000156e+00,6.685350894927978516e+00,-1.400673296581539662e-01
